,MoviesId,Title,Genres
69,38,It Takes Two (1995),Comedy
70,39,Clueless (1995),Comedy
71,39,Clueless (1995),Romance
72,40,"Cry, the Beloved Country (1995)",Drama
73,41,Richard III (1995),Drama
74,41,Richard III (1995),War
75,42,Dead Presidents (1995),Action
76,42,Dead Presidents (1995),Crime
77,42,Dead Presidents (1995),Drama
78,43,Restoration (1995),Drama
79,44,Mortal Kombat (1995),Action
80,44,Mortal Kombat (1995),Adventure
81,45,To Die For (1995),Comedy
82,45,To Die For (1995),Drama
83,46,How to Make an American Quilt (1995),Drama
84,46,How to Make an American Quilt (1995),Romance
85,47,Seven (Se7en) (1995),Crime
86,47,Seven (Se7en) (1995),Thriller
87,48,Pocahontas (1995),Animation
88,48,Pocahontas (1995),Children's
89,48,Pocahontas (1995),Musical
90,48,Pocahontas (1995),Romance
91,49,When Night Is Falling (1995),Drama
92,49,When Night Is Falling (1995),Romance
93,50,"Usual Suspects, The (1995)",Crime
94,50,"Usual Suspects, The (1995)",Thriller
95,51,Guardian Angel (1994),Action
96,51,Guardian Angel (1994),Drama
97,51,Guardian Angel (1994),Thriller
98,52,Mighty Aphrodite (1995),Comedy
99,53,Lamerica (1994),Drama
100,54,"Big Green, The (1995)",Children's
101,54,"Big Green, The (1995)",Comedy
102,55,Georgia (1995),Drama
103,56,Kids of the Round Table (1995),Adventure
104,56,Kids of the Round Table (1995),Children's
105,56,Kids of the Round Table (1995),Fantasy
106,57,Home for the Holidays (1995),Drama
107,58,"Postino, Il (The Postman) (1994)",Drama
108,58,"Postino, Il (The Postman) (1994)",Romance
109,59,"Confessional, The (Le Confessionnal) (1995)",Drama
110,59,"Confessional, The (Le Confessionnal) (1995)",Mystery
111,60,"Indian in the Cupboard, The (1995)",Adventure
112,60,"Indian in the Cupboard, The (1995)",Children's
113,60,"Indian in the Cupboard, The (1995)",Fantasy
114,61,Eye for an Eye (1996),Drama
115,61,Eye for an Eye (1996),Thriller
116,62,Mr. Holland's Opus (1995),Drama
117,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy
118,64,Two if by Sea (1996),Comedy
119,64,Two if by Sea (1996),Romance
120,65,Bio-Dome (1996),Comedy
121,66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi
122,66,Lawnmower Man 2: Beyond Cyberspace (1996),Thriller
123,67,Two Bits (1995),Drama
124,68,French Twist (Gazon maudit) (1995),Comedy
125,68,French Twist (Gazon maudit) (1995),Romance
126,69,Friday (1995),Comedy
127,70,From Dusk Till Dawn (1996),Action
128,70,From Dusk Till Dawn (1996),Comedy
129,70,From Dusk Till Dawn (1996),Crime
130,70,From Dusk Till Dawn (1996),Horror
131,70,From Dusk Till Dawn (1996),Thriller
132,71,Fair Game (1995),Action
133,72,Kicking and Screaming (1995),Comedy
134,72,Kicking and Screaming (1995),Drama
135,73,"Misérables, Les (1995)",Drama
136,73,"Misérables, Les (1995)",Musical
137,74,Bed of Roses (1996),Drama
138,74,Bed of Roses (1996),Romance
139,75,Big Bully (1996),Comedy
140,75,Big Bully (1996),Drama
141,76,Screamers (1995),Sci-Fi
142,76,Screamers (1995),Thriller
143,77,Nico Icon (1995),Documentary
144,78,"Crossing Guard, The (1995)",Drama
145,79,"Juror, The (1996)",Drama
146,79,"Juror, The (1996)",Thriller
147,80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama
148,81,Things to Do in Denver when You're Dead (1995),Crime
149,81,Things to Do in Denver when You're Dead (1995),Drama
150,81,Things to Do in Denver when You're Dead (1995),Romance
151,82,Antonia's Line (Antonia) (1995),Drama
152,83,Once Upon a Time... When We Were Colored (1995),Drama
153,84,Last Summer in the Hamptons (1995),Comedy
154,84,Last Summer in the Hamptons (1995),Drama
155,85,Angels and Insects (1995),Drama
156,85,Angels and Insects (1995),Romance
157,86,White Squall (1996),Adventure
158,86,White Squall (1996),Drama
159,87,Dunston Checks In (1996),Children's
160,87,Dunston Checks In (1996),Comedy
161,88,Black Sheep (1996),Comedy
162,89,Nick of Time (1995),Action
163,89,Nick of Time (1995),Thriller
164,90,"Journey of August King, The (1995)",Drama
165,92,Mary Reilly (1996),Drama
166,92,Mary Reilly (1996),Thriller
167,93,Vampire in Brooklyn (1995),Comedy
168,93,Vampire in Brooklyn (1995),Romance
169,94,Beautiful Girls (1996),Drama
170,95,Broken Arrow (1996),Action
171,95,Broken Arrow (1996),Thriller
172,96,In the Bleak Midwinter (1995),Comedy
173,97,"Hate (Haine, La) (1995)",Drama
174,98,Shopping (1994),Action
175,98,Shopping (1994),Thriller
176,99,Heidi Fleiss: Hollywood Madam (1995),Documentary
177,100,City Hall (1996),Drama
178,100,City Hall (1996),Thriller
179,101,Bottle Rocket (1996),Comedy
180,102,Mr. Wrong (1996),Comedy
181,103,Unforgettable (1996),Thriller
182,104,Happy Gilmore (1996),Comedy
183,105,"Bridges of Madison County, The (1995)",Drama
184,105,"Bridges of Madison County, The (1995)",Romance
185,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy
186,106,Nobody Loves Me (Keiner liebt mich) (1994),Drama
187,107,Muppet Treasure Island (1996),Adventure
188,107,Muppet Treasure Island (1996),Children's
189,107,Muppet Treasure Island (1996),Comedy
190,107,Muppet Treasure Island (1996),Musical
191,108,Catwalk (1995),Documentary
192,109,Headless Body in Topless Bar (1995),Comedy
193,110,Braveheart (1995),Action
194,110,Braveheart (1995),Drama
195,110,Braveheart (1995),War
196,111,Taxi Driver (1976),Drama
197,111,Taxi Driver (1976),Thriller
198,112,Rumble in the Bronx (1995),Action
199,112,Rumble in the Bronx (1995),Adventure
200,112,Rumble in the Bronx (1995),Crime
201,113,Before and After (1996),Drama
202,113,Before and After (1996),Mystery
203,114,Margaret's Museum (1995),Drama
204,115,Happiness Is in the Field (1995),Comedy
205,116,Anne Frank Remembered (1995),Documentary
206,117,"Young Poisoner's Handbook, The (1995)",Crime
207,118,If Lucy Fell (1996),Comedy
208,118,If Lucy Fell (1996),Romance
209,119,"Steal Big, Steal Little (1995)",Comedy
210,120,Race the Sun (1996),Drama
211,121,"Boys of St. Vincent, The (1993)",Drama
212,122,Boomerang (1992),Comedy
213,122,Boomerang (1992),Romance
214,123,Chungking Express (1994),Drama
215,123,Chungking Express (1994),Mystery
216,123,Chungking Express (1994),Romance
217,124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
218,125,Flirting With Disaster (1996),Comedy
219,126,"NeverEnding Story III, The (1994)",Adventure
220,126,"NeverEnding Story III, The (1994)",Children's
221,126,"NeverEnding Story III, The (1994)",Fantasy
222,127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama
223,128,Jupiter's Wife (1994),Documentary
224,129,Pie in the Sky (1995),Comedy
225,129,Pie in the Sky (1995),Romance
226,130,Angela (1995),Drama
227,131,Frankie Starlight (1995),Drama
228,131,Frankie Starlight (1995),Romance
229,132,Jade (1995),Thriller
230,133,Nueba Yol (1995),Comedy
231,133,Nueba Yol (1995),Drama
232,134,Sonic Outlaws (1995),Documentary
233,135,Down Periscope (1996),Comedy
234,136,From the Journals of Jean Seberg (1995),Documentary
235,137,Man of the Year (1995),Documentary
236,138,"Neon Bible, The (1995)",Drama
237,139,Target (1995),Action
238,139,Target (1995),Drama
239,140,Up Close and Personal (1996),Drama
240,140,Up Close and Personal (1996),Romance
241,141,"Birdcage, The (1996)",Comedy
242,142,Shadows (Cienie) (1988),Drama
243,143,Gospa (1995),Drama
244,144,"Brothers McMullen, The (1995)",Comedy
245,145,Bad Boys (1995),Action
246,146,"Amazing Panda Adventure, The (1995)",Adventure
247,146,"Amazing Panda Adventure, The (1995)",Children's
248,147,"Basketball Diaries, The (1995)",Drama
249,148,"Awfully Big Adventure, An (1995)",Drama
250,149,Amateur (1994),Crime
251,149,Amateur (1994),Drama
252,149,Amateur (1994),Thriller
253,150,Apollo 13 (1995),Drama
254,151,Rob Roy (1995),Drama
255,151,Rob Roy (1995),Romance
256,151,Rob Roy (1995),War
257,152,"Addiction, The (1995)",Horror
258,153,Batman Forever (1995),Action
259,153,Batman Forever (1995),Adventure
260,153,Batman Forever (1995),Comedy
261,153,Batman Forever (1995),Crime
262,154,Belle de jour (1967),Drama
263,155,Beyond Rangoon (1995),Drama
264,155,Beyond Rangoon (1995),War
265,156,Blue in the Face (1995),Comedy
266,157,Canadian Bacon (1994),Comedy
267,157,Canadian Bacon (1994),War
268,158,Casper (1995),Adventure
269,158,Casper (1995),Children's
270,159,Clockers (1995),Drama
271,160,Congo (1995),Action
272,160,Congo (1995),Adventure
273,160,Congo (1995),Mystery
274,160,Congo (1995),Sci-Fi
275,161,Crimson Tide (1995),Drama
276,161,Crimson Tide (1995),Thriller
277,161,Crimson Tide (1995),War
278,162,Crumb (1994),Documentary
279,163,Desperado (1995),Action
280,163,Desperado (1995),Romance
281,163,Desperado (1995),Thriller
282,164,Devil in a Blue Dress (1995),Crime
283,164,Devil in a Blue Dress (1995),Film-Noir
284,164,Devil in a Blue Dress (1995),Mystery
285,164,Devil in a Blue Dress (1995),Thriller
286,165,Die Hard: With a Vengeance (1995),Action
287,165,Die Hard: With a Vengeance (1995),Thriller
288,166,"Doom Generation, The (1995)",Comedy
289,166,"Doom Generation, The (1995)",Drama
290,167,Feast of July (1995),Drama
291,168,First Knight (1995),Action
292,168,First Knight (1995),Adventure
293,168,First Knight (1995),Drama
294,168,First Knight (1995),Romance
295,169,Free Willy 2: The Adventure Home (1995),Adventure
296,169,Free Willy 2: The Adventure Home (1995),Children's
297,169,Free Willy 2: The Adventure Home (1995),Drama
298,170,Hackers (1995),Action
299,170,Hackers (1995),Crime
300,170,Hackers (1995),Thriller
301,171,Jeffrey (1995),Comedy
302,172,Johnny Mnemonic (1995),Action
303,172,Johnny Mnemonic (1995),Sci-Fi
304,172,Johnny Mnemonic (1995),Thriller
305,173,Judge Dredd (1995),Action
306,173,Judge Dredd (1995),Adventure
307,173,Judge Dredd (1995),Sci-Fi
308,174,Jury Duty (1995),Comedy
309,175,Kids (1995),Drama
310,176,Living in Oblivion (1995),Comedy
311,177,Lord of Illusions (1995),Horror
312,178,Love & Human Remains (1993),Comedy
313,179,Mad Love (1995),Drama
314,179,Mad Love (1995),Romance
315,180,Mallrats (1995),Comedy
316,181,Mighty Morphin Power Rangers: The Movie (1995),Action
317,181,Mighty Morphin Power Rangers: The Movie (1995),Children's
318,182,Moonlight and Valentino (1995),Drama
319,182,Moonlight and Valentino (1995),Romance
320,183,Mute Witness (1994),Thriller
321,184,Nadja (1994),Drama
322,185,"Net, The (1995)",Sci-Fi
323,185,"Net, The (1995)",Thriller
324,186,Nine Months (1995),Comedy
325,187,Party Girl (1995),Comedy
326,188,"Prophecy, The (1995)",Horror
327,189,Reckless (1995),Comedy
328,190,Safe (1995),Thriller
329,191,"Scarlet Letter, The (1995)",Drama
330,192,"Show, The (1995)",Documentary
331,193,Showgirls (1995),Drama
332,194,Smoke (1995),Drama
333,195,Something to Talk About (1995),Comedy
334,195,Something to Talk About (1995),Drama
335,195,Something to Talk About (1995),Romance
336,196,Species (1995),Horror
337,196,Species (1995),Sci-Fi
338,197,"Stars Fell on Henrietta, The (1995)",Drama
339,198,Strange Days (1995),Action
340,198,Strange Days (1995),Crime
341,198,Strange Days (1995),Sci-Fi
342,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama
343,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Musical
344,200,"Tie That Binds, The (1995)",Thriller
345,201,Three Wishes (1995),Drama
346,202,Total Eclipse (1995),Drama
347,202,Total Eclipse (1995),Romance
348,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
349,204,Under Siege 2: Dark Territory (1995),Action
350,205,Unstrung Heroes (1995),Comedy
351,205,Unstrung Heroes (1995),Drama
352,206,Unzipped (1995),Documentary
353,207,"Walk in the Clouds, A (1995)",Drama
354,207,"Walk in the Clouds, A (1995)",Romance
355,208,Waterworld (1995),Action
356,208,Waterworld (1995),Adventure
357,209,White Man's Burden (1995),Drama
358,210,Wild Bill (1995),Western
359,211,"Browning Version, The (1994)",Drama
360,212,Bushwhacked (1995),Comedy
361,213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama
362,214,Before the Rain (Pred dozhdot) (1994),Drama
363,215,Before Sunrise (1995),Drama
364,215,Before Sunrise (1995),Romance
365,216,Billy Madison (1995),Comedy
366,217,"Babysitter, The (1995)",Drama
367,217,"Babysitter, The (1995)",Thriller
368,218,Boys on the Side (1995),Comedy
369,218,Boys on the Side (1995),Drama
370,219,"Cure, The (1995)",Drama
371,220,Castle Freak (1995),Horror
372,222,Circle of Friends (1995),Drama
373,222,Circle of Friends (1995),Romance
374,223,Clerks (1994),Comedy
375,224,Don Juan DeMarco (1995),Comedy
376,224,Don Juan DeMarco (1995),Drama
377,224,Don Juan DeMarco (1995),Romance
378,225,Disclosure (1994),Drama
379,225,Disclosure (1994),Thriller
380,226,Dream Man (1995),Thriller
381,227,Drop Zone (1994),Action
382,228,Destiny Turns on the Radio (1995),Comedy
383,229,Death and the Maiden (1994),Drama
384,229,Death and the Maiden (1994),Thriller
385,230,Dolores Claiborne (1994),Drama
386,230,Dolores Claiborne (1994),Thriller
387,231,Dumb & Dumber (1994),Comedy
388,232,Eat Drink Man Woman (1994),Comedy
389,232,Eat Drink Man Woman (1994),Drama
390,233,Exotica (1994),Drama
391,234,Exit to Eden (1994),Comedy
392,235,Ed Wood (1994),Comedy
393,235,Ed Wood (1994),Drama
394,236,French Kiss (1995),Comedy
395,236,French Kiss (1995),Romance
396,237,Forget Paris (1995),Comedy
397,237,Forget Paris (1995),Romance
398,238,Far From Home: The Adventures of Yellow Dog (1995),Adventure
399,238,Far From Home: The Adventures of Yellow Dog (1995),Children's
400,239,"Goofy Movie, A (1995)",Animation
401,239,"Goofy Movie, A (1995)",Children's
402,239,"Goofy Movie, A (1995)",Comedy
403,239,"Goofy Movie, A (1995)",Romance
404,240,Hideaway (1995),Thriller
405,241,Fluke (1995),Children's
406,241,Fluke (1995),Drama
407,242,Farinelli: il castrato (1994),Drama
408,242,Farinelli: il castrato (1994),Musical
409,243,Gordy (1995),Comedy
410,244,Gumby: The Movie (1995),Animation
411,244,Gumby: The Movie (1995),Children's
412,245,"Glass Shield, The (1994)",Crime
413,245,"Glass Shield, The (1994)",Drama
414,246,Hoop Dreams (1994),Documentary
415,247,Heavenly Creatures (1994),Drama
416,247,Heavenly Creatures (1994),Fantasy
417,247,Heavenly Creatures (1994),Romance
418,247,Heavenly Creatures (1994),Thriller
419,248,Houseguest (1994),Comedy
420,249,Immortal Beloved (1994),Drama
421,249,Immortal Beloved (1994),Romance
422,250,Heavyweights (1994),Children's
423,250,Heavyweights (1994),Comedy
424,251,"Hunted, The (1995)",Action
425,252,I.Q. (1994),Comedy
426,252,I.Q. (1994),Romance
427,253,Interview with the Vampire (1994),Drama
428,253,Interview with the Vampire (1994),Horror
429,254,Jefferson in Paris (1995),Drama
430,255,"Jerky Boys, The (1994)",Comedy
431,256,Junior (1994),Comedy
432,256,Junior (1994),Sci-Fi
433,257,Just Cause (1995),Mystery
434,257,Just Cause (1995),Thriller
435,258,"Kid in King Arthur's Court, A (1995)",Adventure
436,258,"Kid in King Arthur's Court, A (1995)",Children's
437,258,"Kid in King Arthur's Court, A (1995)",Comedy
438,258,"Kid in King Arthur's Court, A (1995)",Fantasy
439,258,"Kid in King Arthur's Court, A (1995)",Romance
440,259,Kiss of Death (1995),Crime
441,259,Kiss of Death (1995),Drama
442,259,Kiss of Death (1995),Thriller
443,260,Star Wars: Episode IV - A New Hope (1977),Action
444,260,Star Wars: Episode IV - A New Hope (1977),Adventure
445,260,Star Wars: Episode IV - A New Hope (1977),Fantasy
446,260,Star Wars: Episode IV - A New Hope (1977),Sci-Fi
447,261,Little Women (1994),Drama
448,262,"Little Princess, A (1995)",Children's
449,262,"Little Princess, A (1995)",Drama
450,263,Ladybird Ladybird (1994),Drama
451,264,"Enfer, L' (1994)",Drama
452,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama
453,265,Like Water for Chocolate (Como agua para chocolate) (1992),Romance
454,266,Legends of the Fall (1994),Drama
455,266,Legends of the Fall (1994),Romance
456,266,Legends of the Fall (1994),War
457,266,Legends of the Fall (1994),Western
458,267,Major Payne (1994),Comedy
459,268,Little Odessa (1994),Drama
460,269,My Crazy Life (Mi vida loca) (1993),Drama
461,270,Love Affair (1994),Drama
462,270,Love Affair (1994),Romance
463,271,Losing Isaiah (1995),Drama
464,272,"Madness of King George, The (1994)",Drama
465,273,Mary Shelley's Frankenstein (1994),Drama
466,273,Mary Shelley's Frankenstein (1994),Horror
467,274,Man of the House (1995),Comedy
468,275,Mixed Nuts (1994),Comedy
469,276,Milk Money (1994),Comedy
470,276,Milk Money (1994),Romance
471,277,Miracle on 34th Street (1994),Drama
472,278,Miami Rhapsody (1995),Comedy
473,279,My Family (1995),Drama
474,280,Murder in the First (1995),Drama
475,280,Murder in the First (1995),Thriller
476,281,Nobody's Fool (1994),Drama
477,282,Nell (1994),Drama
478,283,New Jersey Drive (1995),Crime
479,283,New Jersey Drive (1995),Drama
480,284,New York Cop (1996),Action
481,284,New York Cop (1996),Crime
482,285,Beyond Bedlam (1993),Drama
483,285,Beyond Bedlam (1993),Horror
484,286,Nemesis 2: Nebula (1995),Action
485,286,Nemesis 2: Nebula (1995),Sci-Fi
486,286,Nemesis 2: Nebula (1995),Thriller
487,287,Nina Takes a Lover (1994),Comedy
488,287,Nina Takes a Lover (1994),Romance
489,288,Natural Born Killers (1994),Action
490,288,Natural Born Killers (1994),Thriller
491,289,Only You (1994),Comedy
492,289,Only You (1994),Romance
493,290,Once Were Warriors (1994),Crime
494,290,Once Were Warriors (1994),Drama
495,291,Poison Ivy II (1995),Thriller
496,292,Outbreak (1995),Action
497,292,Outbreak (1995),Drama
498,292,Outbreak (1995),Thriller
499,293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime
500,293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Drama
501,293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Romance
502,293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Thriller
503,294,"Perez Family, The (1995)",Comedy
504,294,"Perez Family, The (1995)",Romance
505,295,"Pyromaniac's Love Story, A (1995)",Comedy
506,295,"Pyromaniac's Love Story, A (1995)",Romance
507,296,Pulp Fiction (1994),Crime
508,296,Pulp Fiction (1994),Drama
509,297,Panther (1995),Drama
510,298,Pushing Hands (1992),Comedy
511,299,Priest (1994),Drama
512,300,Quiz Show (1994),Drama
513,301,Picture Bride (1995),Drama
514,301,Picture Bride (1995),Romance
515,302,Queen Margot (La Reine Margot) (1994),Drama
516,302,Queen Margot (La Reine Margot) (1994),Romance
517,303,"Quick and the Dead, The (1995)",Action
518,303,"Quick and the Dead, The (1995)",Adventure
519,303,"Quick and the Dead, The (1995)",Western
520,304,Roommates (1995),Comedy
521,304,Roommates (1995),Drama
522,305,Ready to Wear (Pret-A-Porter) (1994),Comedy
523,306,Three Colors: Red (1994),Drama
524,307,Three Colors: Blue (1993),Drama
525,308,Three Colors: White (1994),Drama
526,309,"Red Firecracker, Green Firecracker (1994)",Drama
527,310,Rent-a-Kid (1995),Comedy
528,311,Relative Fear (1994),Horror
529,311,Relative Fear (1994),Thriller
530,312,Stuart Saves His Family (1995),Comedy
531,313,"Swan Princess, The (1994)",Animation
532,313,"Swan Princess, The (1994)",Children's
533,314,"Secret of Roan Inish, The (1994)",Drama
534,315,"Specialist, The (1994)",Action
535,316,Stargate (1994),Action
536,316,Stargate (1994),Adventure
537,316,Stargate (1994),Sci-Fi
538,317,"Santa Clause, The (1994)",Children's
539,317,"Santa Clause, The (1994)",Comedy
540,317,"Santa Clause, The (1994)",Fantasy
541,318,"Shawshank Redemption, The (1994)",Drama
542,319,Shallow Grave (1994),Thriller
543,320,Suture (1993),Film-Noir
544,320,Suture (1993),Thriller
545,321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
546,322,Swimming with Sharks (1995),Comedy
547,322,Swimming with Sharks (1995),Drama
548,324,"Sum of Us, The (1994)",Comedy
549,325,National Lampoon's Senior Trip (1995),Comedy
550,326,To Live (Huozhe) (1994),Drama
551,327,Tank Girl (1995),Action
552,327,Tank Girl (1995),Comedy
553,327,Tank Girl (1995),Musical
554,327,Tank Girl (1995),Sci-Fi
555,328,Tales From the Crypt Presents: Demon Knight (1995),Horror
556,329,Star Trek: Generations (1994),Action
557,329,Star Trek: Generations (1994),Adventure
558,329,Star Trek: Generations (1994),Sci-Fi
559,330,Tales from the Hood (1995),Comedy
560,330,Tales from the Hood (1995),Horror
561,331,Tom & Viv (1994),Drama
562,332,Village of the Damned (1995),Horror
563,332,Village of the Damned (1995),Sci-Fi
564,333,Tommy Boy (1995),Comedy
565,334,Vanya on 42nd Street (1994),Drama
566,335,"Underneath, The (1995)",Mystery
567,335,"Underneath, The (1995)",Thriller
568,336,"Walking Dead, The (1995)",Drama
569,336,"Walking Dead, The (1995)",War
570,337,What's Eating Gilbert Grape (1993),Drama
571,338,Virtuosity (1995),Sci-Fi
572,338,Virtuosity (1995),Thriller
573,339,While You Were Sleeping (1995),Comedy
574,339,While You Were Sleeping (1995),Romance
575,340,"War, The (1994)",Adventure
576,340,"War, The (1994)",Drama
577,341,Double Happiness (1994),Drama
578,342,Muriel's Wedding (1994),Comedy
579,342,Muriel's Wedding (1994),Romance
580,343,"Baby-Sitters Club, The (1995)",Children's
581,344,Ace Ventura: Pet Detective (1994),Comedy
582,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy
583,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Drama
584,346,Backbeat (1993),Drama
585,346,Backbeat (1993),Musical
586,347,Bitter Moon (1992),Drama
587,348,Bullets Over Broadway (1994),Comedy
588,349,Clear and Present Danger (1994),Action
589,349,Clear and Present Danger (1994),Adventure
590,349,Clear and Present Danger (1994),Thriller
591,350,"Client, The (1994)",Drama
592,350,"Client, The (1994)",Mystery
593,350,"Client, The (1994)",Thriller
594,351,"Corrina, Corrina (1994)",Comedy
595,351,"Corrina, Corrina (1994)",Drama
596,351,"Corrina, Corrina (1994)",Romance
597,352,Crooklyn (1994),Comedy
598,353,"Crow, The (1994)",Action
599,353,"Crow, The (1994)",Romance
600,353,"Crow, The (1994)",Thriller
601,354,Cobb (1994),Drama
602,355,"Flintstones, The (1994)",Children's
603,355,"Flintstones, The (1994)",Comedy
604,356,Forrest Gump (1994),Comedy
605,356,Forrest Gump (1994),Romance
606,356,Forrest Gump (1994),War
607,357,Four Weddings and a Funeral (1994),Comedy
608,357,Four Weddings and a Funeral (1994),Romance
609,358,Higher Learning (1995),Drama
610,359,I Like It Like That (1994),Comedy
611,359,I Like It Like That (1994),Drama
612,359,I Like It Like That (1994),Romance
613,360,I Love Trouble (1994),Action
614,360,I Love Trouble (1994),Comedy
615,361,It Could Happen to You (1994),Drama
616,361,It Could Happen to You (1994),Romance
617,362,"Jungle Book, The (1994)",Adventure
618,362,"Jungle Book, The (1994)",Children's
619,362,"Jungle Book, The (1994)",Romance
620,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary
621,364,"Lion King, The (1994)",Animation
622,364,"Lion King, The (1994)",Children's
623,364,"Lion King, The (1994)",Musical
624,365,Little Buddha (1993),Drama
625,366,Wes Craven's New Nightmare (1994),Horror
626,367,"Mask, The (1994)",Comedy
627,367,"Mask, The (1994)",Crime
628,367,"Mask, The (1994)",Fantasy
629,368,Maverick (1994),Action
630,368,Maverick (1994),Comedy
631,368,Maverick (1994),Western
632,369,Mrs. Parker and the Vicious Circle (1994),Drama
633,370,Naked Gun 33 1/3: The Final Insult (1994),Comedy
634,371,"Paper, The (1994)",Comedy
635,371,"Paper, The (1994)",Drama
636,372,Reality Bites (1994),Comedy
637,372,Reality Bites (1994),Drama
638,373,Red Rock West (1992),Thriller
639,374,Richie Rich (1994),Children's
640,374,Richie Rich (1994),Comedy
641,375,Safe Passage (1994),Drama
642,376,"River Wild, The (1994)",Action
643,376,"River Wild, The (1994)",Thriller
644,377,Speed (1994),Action
645,377,Speed (1994),Romance
646,377,Speed (1994),Thriller
647,378,Speechless (1994),Comedy
648,378,Speechless (1994),Romance
649,379,Timecop (1994),Action
650,379,Timecop (1994),Sci-Fi
651,380,True Lies (1994),Action
652,380,True Lies (1994),Adventure
653,380,True Lies (1994),Comedy
654,380,True Lies (1994),Romance
655,381,When a Man Loves a Woman (1994),Drama
656,382,Wolf (1994),Drama
657,382,Wolf (1994),Horror
658,383,Wyatt Earp (1994),Western
659,384,Bad Company (1995),Action
660,385,"Man of No Importance, A (1994)",Drama
661,386,S.F.W. (1994),Drama
662,387,"Low Down Dirty Shame, A (1994)",Action
663,387,"Low Down Dirty Shame, A (1994)",Comedy
664,388,Boys Life (1995),Drama
665,389,"Colonel Chabert, Le (1994)",Drama
666,389,"Colonel Chabert, Le (1994)",Romance
667,389,"Colonel Chabert, Le (1994)",War
